sample_fp	plate	cycle	well	tile	channel
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_0_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	0	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_0_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	0	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_0_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	0	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_0_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	0	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_0_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	0	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_1_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	1	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_1_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	1	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_1_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	1	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_1_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	1	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_1_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	1	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_2_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	2	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_2_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	2	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_2_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	2	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_2_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	2	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_2_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	2	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_3_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	3	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_3_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	3	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_3_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	3	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_3_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	3	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_3_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	3	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_4_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	4	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_4_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	4	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_4_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	4	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_4_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	4	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_4_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	4	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_5_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	5	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_5_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	5	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_5_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	5	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_5_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	5	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_5_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	5	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_6_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	6	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_6_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	6	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_6_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	6	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_6_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	6	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_6_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	6	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_7_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	7	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_7_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	7	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_7_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	7	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_7_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	7	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_7_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	7	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_8_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	8	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_8_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	8	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_8_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	8	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_8_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	8	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_8_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	8	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_9_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	9	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_9_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	9	561_nm_-_G
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_9_0_Fluorescence_561_nm_-_T.tiff	1	1	A1	9	561_nm_-_T
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_9_0_Fluorescence_638_nm_-_A.tiff	1	1	A1	9	638_nm_-_A
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_9_0_Fluorescence_638_nm_-_C.tiff	1	1	A1	9	638_nm_-_C
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_10_0_Fluorescence_405_nm_-_Penta.tiff	1	1	A1	10	405_nm_-_Penta
/Volumes/Elements/sbs/plate_1/cycle_1/0/A1_10_0_Fluorescence_561_nm_-_G.tiff	1	1	A1	10	561_nm_-_G
